,2006-09-30,2007-09-29,2008-09-27,2009-09-26,2010-09-25,2011-09-24,2012-09-29,2013-09-28,2014-09-27,2015-09-26,2016-09-24,2017-09-30,2018-09-29,2019-09-28,2020-09-26,2021-09-25,2022-09-24,2023-09-30
AccountsPayableCurrent(in USD),,,5520000000.0,5601000000.0,,,,,,,,,,,,,,
AccountsReceivableNetCurrent(in USD),,,2422000000.0,3361000000.0,,,,,,,,,,,,,,
AccruedLiabilitiesCurrent(in USD),,,3719000000.0,3376000000.0,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax(in USD),,,8000000.0,84000000.0,,,,,,,,,,,,,,
Assets(in USD),,,39572000000.0,53851000000.0,,,,,,,,,,,,,,
AssetsCurrent(in USD),,,32311000000.0,36265000000.0,,,,,,,,,,,,,,
AvailableForSaleSecuritiesCurrent(in USD),,,10236000000.0,18201000000.0,,,,,,,,,,,,,,
AvailableForSaleSecuritiesNoncurrent(in USD),,,2379000000.0,10528000000.0,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue(in USD),6392000000,9352000000,11875000000,5263000000,,,,,,,,,,,,,,
CommitmentsAndContingencies2009,,,,,,,,,,,,,,,,,,
CommonStockValue(in USD),,,7177000000.0,8210000000.0,,,,,,,,,,,,,,
DeferredRevenueCurrent(in USD),,,4853000000.0,10305000000.0,,,,,,,,,,,,,,
DeferredRevenueNoncurrent(in USD),,,3029000000.0,4485000000.0,,,,,,,,,,,,,,
DeferredTaxAssetsNetCurrent(in USD),,,1447000000.0,2101000000.0,,,,,,,,,,,,,,
Goodwill(in USD),,,207000000.0,206000000.0,,,,,,,,,,,,,,
IntangibleAssetsNetExcludingGoodwill(in USD),,,285000000.0,247000000.0,,,,,,,,,,,,,,
InventoryNet(in USD),,,509000000.0,455000000.0,,,,,,,,,,,,,,
Liabilities(in USD),,,18542000000.0,26019000000.0,,,,,,,,,,,,,,
LiabilitiesAndStockholdersEquity(in USD),,,39572000000.0,53851000000.0,,,,,,,,,,,,,,
LiabilitiesCurrent(in USD),,,14092000000.0,19282000000.0,,,,,,,,,,,,,,
OtherAssetsCurrent(in USD),,,5822000000.0,6884000000.0,,,,,,,,,,,,,,
OtherAssetsNoncurrent(in USD),,,1935000000.0,3651000000.0,,,,,,,,,,,,,,
OtherLiabilitiesNoncurrent(in USD),,,1421000000.0,2252000000.0,,,,,,,,,,,,,,
PropertyPlantAndEquipmentAndCapitalizedSoftwareNet(in USD),,,2455000000.0,2954000000.0,,,,,,,,,,,,,,
RetainedEarningsAccumulatedDeficit(in USD),,,13845000000.0,19538000000.0,,,,,,,,,,,,,,
StockholdersEquity(in USD),9984000000,14532000000,21030000000,27832000000,,,,,,,,,,,,,,
AccountsPayableCurrent(in iso4217_USD),,,,,12015000000.0,14632000000.0,21175000000.0,22367000000.0,30196000000.0,35490000000.0,,,,,,,,
AccountsReceivableNetCurrent(in iso4217_USD),,,,,5510000000.0,5369000000.0,10930000000.0,13102000000.0,17460000000.0,16849000000.0,,,,,,,,
AccruedLiabilitiesCurrent(in iso4217_USD),,,,,5723000000.0,9247000000.0,11414000000.0,13856000000.0,18453000000.0,25181000000.0,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax(in iso4217_USD),,,,,-46000000.0,443000000.0,499000000.0,-471000000.0,1082000000.0,-345000000.0,,,,,,,,
Assets(in iso4217_USD),,,,,75183000000.0,116371000000.0,176064000000.0,207000000000.0,231839000000.0,290479000000.0,,,,,,,,
AssetsCurrent(in iso4217_USD),,,,,41678000000.0,44988000000.0,57653000000.0,73286000000.0,68531000000.0,89378000000.0,,,,,,,,
AvailableForSaleSecuritiesDebtSecuritiesCurrent(in iso4217_USD),,,,,14359000000.0,,,,,,,,,,,,,
AvailableForSaleSecuritiesDebtSecuritiesNoncurrent(in iso4217_USD),,,,,25391000000.0,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue(in iso4217_USD),,,,,11261000000.0,9815000000.0,10746000000.0,14259000000.0,13844000000.0,21120000000.0,,,,,,,,
CommonStockValue(in iso4217_USD),,,,,10668000000.0,13331000000.0,16422000000.0,19764000000.0,,,,,,,,,,
DeferredRevenueCurrent(in iso4217_USD),,,,,2984000000.0,4091000000.0,5953000000.0,7435000000.0,8491000000.0,8940000000.0,,,,,,,,
DeferredRevenueNoncurrent(in iso4217_USD),,,,,1139000000.0,1686000000.0,2648000000.0,2625000000.0,3031000000.0,3624000000.0,,,,,,,,
DeferredTaxAssetsNetCurrent(in iso4217_USD),,,,,1636000000.0,2014000000.0,2583000000.0,3453000000.0,4318000000.0,,,,,,,,,
Goodwill(in iso4217_USD),,,,,741000000.0,896000000.0,1135000000.0,1577000000.0,4616000000.0,5116000000.0,,,,,,,,
IntangibleAssetsNetExcludingGoodwill(in iso4217_USD),,,,,342000000.0,3536000000.0,4224000000.0,4179000000.0,4142000000.0,3893000000.0,,,,,,,,
InventoryNet(in iso4217_USD),,,,,1051000000.0,776000000.0,791000000.0,1764000000.0,2111000000.0,2349000000.0,,,,,,,,
Liabilities(in iso4217_USD),,,,,27392000000.0,39756000000.0,57854000000.0,83451000000.0,120292000000.0,171124000000.0,,,,,,,,
LiabilitiesAndStockholdersEquity(in iso4217_USD),,,,,75183000000.0,116371000000.0,176064000000.0,207000000000.0,231839000000.0,290479000000.0,,,,,,,,
LiabilitiesCurrent(in iso4217_USD),,,,,20722000000.0,27970000000.0,38542000000.0,43658000000.0,63448000000.0,80610000000.0,,,,,,,,
NontradeReceivablesCurrent(in iso4217_USD),,,,,4414000000.0,6348000000.0,7762000000.0,7539000000.0,9759000000.0,13494000000.0,,,,,,,,
OtherAssetsCurrent(in iso4217_USD),,,,,3447000000.0,4529000000.0,6458000000.0,6882000000.0,9806000000.0,9539000000.0,,,,,,,,
OtherAssetsNoncurrent(in iso4217_USD),,,,,2263000000.0,3556000000.0,5478000000.0,5146000000.0,3764000000.0,5556000000.0,,,,,,,,
OtherLiabilitiesNoncurrent(in iso4217_USD),,,,,5531000000.0,10100000000.0,16664000000.0,20208000000.0,24826000000.0,33427000000.0,,,,,,,,
PropertyPlantAndEquipmentAndCapitalizedSoftwareNet(in iso4217_USD),,,,,4768000000.0,7777000000.0,,,,,,,,,,,,
