,2006-09-30,2006-10-01 to 2007-09-29,2007-09-29,2007-09-30 to 2008-09-27,2008-09-27,2008-09-28 to 2009-09-26,2009-09-26,2008-09-28 to 2008-12-27,2008-12-28 to 2009-03-28,2009-03-29 to 2009-06-27,2009-06-28 to 2009-09-26,2009-09-27 to 2009-12-26,2009-09-27 to 2010-09-25,2009-12-27 to 2010-03-27,2010-03-28 to 2010-06-26,2010-06-27 to 2010-09-25,2010-09-25,2010-09-26 to 2011-09-24,2011-09-24,2011-09-25 to 2011-12-31,2011-09-25 to 2012-09-29,2012-01-01 to 2012-03-31,2012-04-01 to 2012-06-30,2012-07-01 to 2012-09-29,2012-09-29,2012-09-30 to 2012-12-29,2012-09-30 to 2013-09-28,2012-12-30 to 2013-03-30,2013-03-31 to 2013-06-29,2013-06-30 to 2013-09-28,2013-09-28,2013-09-29 to 2013-12-28,2013-09-29 to 2014-09-27,2013-12-29 to 2014-03-29,2014-03-30 to 2014-06-28,2014-06-29 to 2014-09-27,2014-09-27,2014-09-28 to 2014-12-27,2014-09-28 to 2015-09-26,2014-12-28 to 2015-03-28,2015-03-29 to 2015-06-27,2015-06-28 to 2015-09-26,2015-09-26,2015-09-27 to 2015-12-26,2015-09-27 to 2016-09-24,2015-12-27 to 2016-03-26,2016-03-27 to 2016-06-25,2016-06-26 to 2016-09-24,2016-09-24,2016-09-25 to 2016-12-31,2016-09-25 to 2017-09-30,2017-01-01 to 2017-04-01,2017-04-02 to 2017-07-01,2017-07-02 to 2017-09-30,2017-09-30,2017-10-01 to 2017-12-30,2017-10-01 to 2018-09-29,2017-12-31 to 2018-03-31,2018-04-01 to 2018-06-30,2018-07-01 to 2018-09-29,2018-09-29,2018-09-30 to 2018-12-29,2018-09-30 to 2019-09-28,2018-12-30 to 2019-03-30,2019-03-31 to 2019-06-29,2019-06-30 to 2019-09-28,2019-09-28,2019-09-29 to 2019-12-28,2019-09-29 to 2020-09-26,2019-12-29 to 2020-03-28,2020-03-29 to 2020-06-27,2020-06-28 to 2020-09-26,2020-09-26,2020-09-27 to 2021-09-25,2021-09-25,2021-09-26 to 2022-09-24,2022-09-24,2022-09-25 to 2023-09-30,2023-09-30
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue(in USD),,251000000.0,,513000000.0,,707000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation(in USD),,398000000.0,,770000000.0,,-78000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTax(in USD),,3537000000.0,,4779000000.0,,5780000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CumulativeEffectOfInitialAdoptionOfNewAccountingPrinciple(in USD),,,,56000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeLoss(in USD),,3496000000.0,,4834000000.0,,5704000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeAvailableForSaleSecuritiesAdjustmentNetOfTaxPeriodIncreaseDecrease(in USD),,-7000000.0,,-63000000.0,,118000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPeriodIncreaseDecrease(in USD),,-3000000.0,,19000000.0,,12000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease(in USD),,51000000.0,,-11000000.0,,-54000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SharesIssued(in Shares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StockholdersEquity(in USD),9984000000.0,,14532000000.0,,21030000000.0,,27832000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StockIssuedDuringPeriodSharesShareBasedCompensation(in Shares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StockIssuedDuringPeriodValueAcquisitions(in USD),,,,21000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StockIssuedDuringPeriodValueShareBasedCompensation(in USD),,362000000.0,,359000000.0,,393000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue(in iso4217_USD),,,,,,,,,,,,,876000000.0,,,,,1168000000.0,,,1740000000.0,,,,,,2253000000.0,,,,,,2863000000.0,,,,,,3586000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation(in iso4217_USD),,,,,,,,,,,,,879000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CommonStockSharesOutstanding(in shares),,,,,,,,,,,,,,,,,915970050.0,,,,,,,,939208000.0,,,,,,899213000.0,,,,,,5866161000.0,,,,,,5578753000.0,,,,,,5336166000.0,,,,,,5126201000.0,,,,,,4754986000.0,,,,,,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTax(in iso4217_USD),,,,,,,,,,,,,13890000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CumulativeEffectOfInitialAdoptionOfFIN48(in iso4217_USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
